,convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
0,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2014-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA GEOLOGICA,MASCULINO
1,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA GEOGRAFICA,MASCULINO
2,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,QUIMICA,MASCULINO
3,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA DE SISTEMAS,MASCULINO
4,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-12,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
5,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA MECANICA DE FLUIDOS,MASCULINO
6,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-12,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
7,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-12,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRONICA,MASCULINO
9,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2014-01,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRONICA,MASCULINO
10,Beca 18 Modalidad Ordinaria 2012,LIMA,1,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,ESTADISTICA,MASCULINO
