convocatoria,region,motivo,resolucion_ret_beca,fec_resolucion_ret_beca,fec_Postulacion,tipoinstitucion,institucioneducativa,institucionsede,carreradescripcion,genero
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA GEOLOGICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA GEOGRAFICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,QUIMICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA DE SISTEMAS,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-12,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA MECANICA DE FLUIDOS,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-12,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-12,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRONICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-12,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-01,2012-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRONICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,ESTADISTICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-12,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-12,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-02,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,COMPUTACION CIENTIFICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA DE SOFTWARE,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2012-12,2012-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios declarados nulos,,2014-02,2013-04,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2015-03,2013-01,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA INDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2013,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-11,2013-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA INDUSTRIAL,MASCULINO
Beca 18 Ordinaria 2015,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2015-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,INGENIERIA ELECTRONICA,MASCULINO
Beca 18 Reparaciones 2012-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2012-10,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2012-12,2012-04,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,ESTADISTICA,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2013-11,2012-04,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 Modalidad Ordinaria 2012,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-02,2012-04,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA AGROINDUSTRIAL,MASCULINO
Beca 18 Modalidad Ordinaria 2014,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-12,2014-03,Universidad,NACIONAL FEDERICO VILLARREAL,SEDE LIMA,INGENIERIA CIVIL,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2012-08,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 Ordinaria 2015,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2015-03,Universidad,NACIONAL MAYOR DE SAN MARCOS,SEDE LIMA,COMPUTACION CIENTIFICA,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,2014-04,2012-08,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que desaprobaron,RESOLUCION JEFATURAL,,2012-08,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que renunciaron,RESOLUCION JEFATURAL,2013-01,2012-09,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-08,2012-08,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-10,2012-09,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,TELEMATICA,MASCULINO
Beca 18 VRAEM 2012-01,LIMA,Becarios que abandonaron los estudios (No recibieron subvencion),RESOLUCION JEFATURAL,2014-02,2012-09,Instituto de EducaciÃ³n Superior TecnolÃ³gico,IBEROTEC,SEDE LINCE,SISTEMAS DE TELECOMUNICACIONES,MASCULINO
